"image","caption","entities","relations"
"2873.png","A diagram showing the anatomy of the human eye","retina; choroid; ciliary body; optic nerve; optic disc area; vitreous body; sclera; lens; aqueous body; iris; cornea; image of Eye anatomy","retina → image of Eye anatomy; choroid → image of Eye anatomy; ciliary body → image of Eye anatomy; optic nerve → image of Eye anatomy; optic disc area → image of Eye anatomy; vitreous body → image of Eye anatomy; sclera → image of Eye anatomy; lens → image of Eye anatomy; aqueous body → image of Eye anatomy; aqueous body → image of Eye anatomy; iris → image of Eye anatomy; iris → image of Eye anatomy; cornea → image of Eye anatomy"
"2876.png","A diagram showing the anatomy of the human eye","optic nerve; blood vessels; pupil; cornea; lens; suspensory ligament; optic disc (blind spot); fovea centralis; wise geek; sclera; choroid; retina; ciliary body; iris; image of Lens","optic nerve → image of Lens; blood vessels → image of Lens; pupil → image of Lens; pupil → image of Lens; cornea → image of Lens; lens → image of Lens; suspensory ligament → image of Lens; optic disc (blind spot) → image of Lens; fovea centralis → image of Lens; wise geek → I0; sclera → image of Lens; choroid → image of Lens; retina → image of Lens; ciliary body → image of Lens; iris → image of Lens"
"2877.png","A diagram showing the anatomy of a hair follicle in human skin","hair follicle; hair root; dermis; hair erector muscle; hair shaft; epidermis; sebaceous gland; image of Hair structure","hair follicle → image of Hair structure; hair root → image of Hair structure; dermis → image of Hair structure; hair erector muscle → image of Hair structure; hair shaft → image of Hair structure; epidermis → image of Hair structure; sebaceous gland → image of Hair structure"
"2879.png","A diagram showing the anatomy of the human eye","lens; posterior chamber; lateral rectus muscle; sclera; choroid; macula; retina; fovea; vitreous body; optic nerve; optic nerve head; medial rectus muscle; anterior chamber; cornea; pupil; aqueous humor; iris; conjunctiva; suspensory ligament zonules; ciliary body; image of Lens","lens → image of Lens; posterior chamber → image of Lens; lateral rectus muscle → image of Lens; sclera → image of Lens; choroid → image of Lens; macula → image of Lens; retina → image of Lens; fovea → image of Lens; vitreous body → image of Lens; optic nerve → image of Lens; optic nerve head → image of Lens; medial rectus muscle → image of Lens; anterior chamber → image of Lens; cornea → image of Lens; pupil → image of Lens; aqueous humor → image of Lens; iris → image of Lens; conjunctiva → image of Lens; suspensory ligament zonules → image of Lens; ciliary body → image of Lens"
"2880.png","A diagram showing the anatomy of the human ear","ear canal; inner ear; eustachian tube; middle ear; eardrum; pinna; image of Ear","ear canal → image of Ear; inner ear → image of Ear; eustachian tube → image of Ear; middle ear → image of Ear; eardrum → image of Ear; pinna → image of Ear"
"2882.png","A diagram showing the human respiratory system,. Titled as lungs.","lungs; trachea (windpipe; right lobes; left bronchi; left lobes; alveoli; diaphragm; pleura; bronchioles; secondary bronchi; right bronchi; image of Lungs","trachea (windpipe → image of Lungs; right lobes → image of Lungs; left bronchi → image of Lungs; left lobes → image of Lungs; alveoli → image of Lungs; diaphragm → image of Lungs; pleura → image of Lungs; bronchioles → image of Lungs; secondary bronchi → image of Lungs; right bronchi → image of Lungs"
"2884.png","A diagram showing the anatomy of a healthy tooth. Titled as healthy tooth.","root; neck; crown; healthy tooth; nerve and blood vessels; dentin; enamel; pulp; image of Tooth","root → image of Tooth; crown → image of Tooth; nerve and blood vessels → image of Tooth; dentin → image of Tooth; enamel → image of Tooth; pulp → image of Tooth"
"2892.png","A diagram showing a cross section of the ear. The image has a title: cross section of the ear.","eustachian tube; cochlear; internal carotid artery; cross section of the ear; bone; pinna; eardrum; malleus; incus; stapes; semicircular canals; nerve; external ear; image of Ear bones","eustachian tube → image of Ear bones; cochlear → image of Ear bones; internal carotid artery → image of Ear bones; bone → image of Ear bones; pinna → image of Ear bones; eardrum → image of Ear bones; malleus → image of Ear bones; incus → image of Ear bones; stapes → image of Ear bones; semicircular canals → image of Ear bones; nerve → image of Ear bones; external ear → image of Ear bones"
"2893.png","A diagram showing the human respiratory system, specifically the trachea, bronchial tubes, and lungs.","trachea or windpipe; bronchial tubes; lung; image of Label","trachea or windpipe → image of Label; bronchial tubes → image of Label; lung → image of Label; lung → image of Label"
"2894.png","A diagram showing different functional areas of the brain with labeled regions.","actions; sensations; objects; vision; names places; planning context; image of Brain","actions → image of Brain; sensations → image of Brain; objects → image of Brain; vision → image of Brain; names places → image of Brain; planning context → image of Brain"
"2895.png","A diagram showing the anatomy of the human eye","vitreous gel; retinal pigment epithelium; retina; credit: national eye institute, national institutes of health; optic nerve; iris; cornea; pupil; lens; iris; macula; fovea; image of Optic nerve","vitreous gel → image of Optic nerve; retinal pigment epithelium → image of Optic nerve; retina → image of Optic nerve; credit: national eye institute, national institutes of health → I0; optic nerve → image of Optic nerve; iris → image of Optic nerve; cornea → image of Optic nerve; pupil → image of Optic nerve; lens → image of Optic nerve; iris → image of Optic nerve; macula → image of Optic nerve; fovea → image of Optic nerve"
"2897.png","A diagram showing the different lobes and parts of the human brain","parietal lobe; www.brainhealthandpuzzles.com; frontal lobe; temporal lobe; pons; medulla oblongata; spinal cord; cerebellum; occipital lobe; image of Parietal Lobe","parietal lobe → image of Parietal Lobe; www.brainhealthandpuzzles.com → I0; frontal lobe → image of Parietal Lobe; temporal lobe → image of Parietal Lobe; pons → image of Parietal Lobe; medulla oblongata → image of Parietal Lobe; spinal cord → image of Parietal Lobe; cerebellum → image of Parietal Lobe; occipital lobe → image of Parietal Lobe"
"2898.png","A diagram showing the cross section of a tooth. Its title is: cross section of a tooth.","cross section of a tooth; enamel; crown; dentine; gum; pulp; cementum; bone; blood vessel; nerve; root; image of Tooth anatomy","enamel → image of Tooth anatomy; crown → image of Tooth anatomy; dentine → image of Tooth anatomy; gum → image of Tooth anatomy; pulp → image of Tooth anatomy; cementum → image of Tooth anatomy; cementum → image of Tooth anatomy; bone → image of Tooth anatomy; blood vessel → image of Tooth anatomy; nerve → image of Tooth anatomy; root → image of Tooth anatomy"
"2899.png","A diagram showing the human respiratory system with a focus on the lungs and alveoli.","secondary bronchi; buzzle.com; trachea (windpipe); bronchi; capillary network; alveoli; bronchioles; left lung; right lung; inferior lobe; middle lobe; superior lobe; image of Trachea; image of Alveoli","secondary bronchi → image of Trachea; buzzle.com → I0; trachea (windpipe) → image of Trachea; bronchi → image of Trachea; capillary network → image of Alveoli; alveoli → image of Alveoli; bronchioles → image of Trachea; left lung → image of Trachea; right lung → image of Trachea; inferior lobe → image of Trachea; middle lobe → image of Trachea; superior lobe → image of Trachea"
"2900.png","A diagram showing the human lungs with a focus on lobectomy procedure for lung cancer treatment.The title is: right upper lobectomy.","cancer; lobe removed; right upper lobe containing tumor and lymph nodes; right lung; left lung; 2009 medicalartstudio.com; right upper lobectomy; normal lymph nodes; image of Tumor; image of Lobectomy","cancer → image of Lobectomy; lobe removed → image of Tumor; right upper lobe containing tumor and lymph nodes → image of Tumor; right lung → image of Lobectomy; left lung → image of Lobectomy; 2009 medicalartstudio.com → I0; normal lymph nodes → image of Lobectomy"
